# default values for blocks
default height:28 width:45 stroke:color(black)

# block definitions
bdef symbol:a hit_points:2 fill:image(block_images/nations/argentina.png)
bdef symbol:A hit_points:1 fill:image(block_images/nations/australia.png)
bdef symbol:b hit_points:2 fill:image(block_images/nations/belgium.png)
bdef symbol:B hit_points:2 fill:image(block_images/nations/brazil.png)
bdef symbol:c hit_points:1 fill:image(block_images/nations/colombia.png)
bdef symbol:h hit_points:1 fill:image(block_images/nations/costa-rica.png)
bdef symbol:C hit_points:1 fill:image(block_images/nations/croatia.png)
bdef symbol:d hit_points:1 fill:image(block_images/nations/denmark.png)
bdef symbol:e hit_points:1 fill:image(block_images/nations/egypt.png)
bdef symbol:E hit_points:2 fill:image(block_images/nations/england.png)
bdef symbol:f hit_points:2 fill:image(block_images/nations/france.png)
bdef symbol:g hit_points:2 fill:image(block_images/nations/germany.png)
bdef symbol:i hit_points:1 fill:image(block_images/nations/iceland.png)
bdef symbol:I hit_points:1 fill:image(block_images/nations/iran.png)
bdef symbol:j hit_points:1 fill:image(block_images/nations/japan.png)
bdef symbol:m hit_points:1 fill:image(block_images/nations/mexico.png)
bdef symbol:M hit_points:1 fill:image(block_images/nations/morocco.png)
bdef symbol:n hit_points:1 fill:image(block_images/nations/nigeria.png)
bdef symbol:p hit_points:1 fill:image(block_images/nations/panama.png)
bdef symbol:P hit_points:1 fill:image(block_images/nations/peru.png)
bdef symbol:D hit_points:1 fill:image(block_images/nations/poland.png)
bdef symbol:H hit_points:2 fill:image(block_images/nations/portugal.png)
bdef symbol:r hit_points:1 fill:image(block_images/nations/russia.png)
bdef symbol:s hit_points:1 fill:image(block_images/nations/saudi-arabia.png)
bdef symbol:F hit_points:1 fill:image(block_images/nations/senegal.png)
bdef symbol:G hit_points:1 fill:image(block_images/nations/serbia.png)
bdef symbol:J hit_points:1 fill:image(block_images/nations/south-korea.png)
bdef symbol:k hit_points:2 fill:image(block_images/nations/spain.png)
bdef symbol:l hit_points:1 fill:image(block_images/nations/sweden.png)
bdef symbol:o hit_points:1 fill:image(block_images/nations/switzerland.png)
bdef symbol:t hit_points:1 fill:image(block_images/nations/tunisia.png)
bdef symbol:u hit_points:1 fill:image(block_images/nations/uruguay.png)

# spacers definitions
sdef symbol:* width:6
